National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Contributors,Effort,"If Effort=Other, Then Specify",Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Group Type: UME,Num of Animals in Group Event,Number of Animals Act/Est,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,2001 Level A: External Exam,2001 Level A: Internal Exam,Not Able to Examine,How Determined: Describe,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Other Findings - Other Flag,Other Findings - Describe,SW Other Findings Type,2007 Other Findings - External,2007 Other Findings - Internal,2007 Other Findings - Necropsy,2007 Other Findings - Other,2007 Other Findings - Describe,2001 Other Findings - Describe,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Obs Date estimate explaination,Observation Date Act/Est,Observation Status,Examined,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Date of Initial Disposition,Year of Initial Disposition,Month of Initial Disposition,Day of Initial Disposition,Rehab Facility Name,Died During Transport Flag,Euthanized During Transport,Other Flag,Other Describe Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Condition Other Flag,Condition Other Description,Entangled Flag,Condition Comments,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Photos/Vidoes Disposition,Tag Present- Time of Stranding,Tag Applied During Response,Stranding Tag #1 ID,Stranding Tag #2 ID,Stranding Tag #3 ID,Stranding Tag #4 ID,Stranding Tag #1 Color,Stranding Tag #2 Color,Stranding Tag #3 Color,Stranding Tag #4 Color,Stranding Tag #1 Type,Stranding Tag #2 Type,Stranding Tag #3 Type,Stranding Tag #4 Type,Stranding Tag #1 Placement,Stranding Tag #2 Placement,Stranding Tag #3 Placement,Stranding Tag #4 Placement,Stranding Tag #1 Applied Flag,Stranding Tag #2 Applied Flag,Stranding Tag #3 Applied Flag,Stranding Tag #4 Applied Flag,Stranding Tag #1 Present Flag,Stranding Tag #2 Present Flag,Stranding Tag #3 Present Flag,Stranding Tag #4 Present Flag,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk Flag,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill Flag,Carcass Unknown Flag,Carcass Other Flag,Carcass Other Description,Scientific Collection Flag,Educational Collection Flag,Other Collection Flag,Other Collection Describe,Other Collection Comments,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers,Userid of level A data entry,Date of level A data entry,Userid of data entry change,Date of data entry change,Rehabid,Restrand Flag,Pup/Calf Flag,Date Admitted to Rehab,Received From Rehab Facility,Rehab Straight Length,Rehab Length - Units,Rehab Length - Actual/Estimate,Rehab Weight,Rehab Weight - Units,Rehab Weight - Actual/Estimate,Pre-release Health Screen,Pre-release Health Screen Date,Last Day of Antibiotics Date,Samples Collected,Scientific Collection,Educational Collection,Rehab Other Flag,Rehab Other Description,Specimen Disposition 1,Specimen Disposition 2,Specimen Disposition 3,Specimen Disposition 4,Specimen Disposition 5,Specimen Disposition 6,Specimen Disposition 7,Specimen Disposition 8,Released Straight Length,Released - Length Units,Released - Length Units Type,Released Weight,Released Weight - Units,Released Weight - Units Type,Released Age Class,Final Disposition,Transferred to Other Facility,Transferred Date,Transferred to Facility Name,Transferred Comments,Perm Transferred- Pub Display,Retained Date,Retained Location,Retained Comments,NOAA ID #,Died Flag,Euthanized Flag,Died Date,Died Location,Cause of Death,Died Comments,Rehab Necropsied Flag,Necropsied Limited or Complete,Carcass Fresh or Frozen,Necropsied Date,Rehab Necropsied By,Released Flag,Released Date,Released Country,Released State/County,Released City,Released Locality Details,Released Lattitude,Released Lattitude Units,Released Longitude,Released Longitude Units,Released Singly or With Others,Temp Trans - Research Facility,Rehab Retained Date,Rehab Retained Location,Rehab Retained Comments,NMFS Permit #,Perm Trans Resrch/Enhancement,Permanent Captivity Date,Permanent Captivity Location,Permanent Captivity Comments,Rehab NOAA ID #,Rehab NMFS Permit #,Already Present (Pre-existing),Applied during Strand Response,Applied During Rehabilitation,Rehab Tag #1 ID,Rehab Tag #2 ID,Rehab Tag #3 ID,Rehab Tag #1 Color,Rehab Tag #2 Color,Rehab Tag #3 Color,Rehab Tag #1 Type,Rehab Tag #2 Type,Rehab Tag #3 Type,Rehab Tag #1 Placement,Rehab Tag #2 Placement,Rehab Tag #3 Placement,Rehab Tag #1 Applied Flag,Rehab Tag #2 Applied Flag,Rehab Tag #3 Applied Flag,Rehab Tag #1 Present Flag,Rehab Tag #2 Present Flag,Rehab Tag #3 Present Flag,Post Release Biomonitoring,Rehab Data Disposition,Rehab Additional Remarks,Rehab Additional Identifiers,RehabId of Dispo Xferred from,Rehab Data - User of Entry,Rehab Data - Date of Entry,Rehab Data - User of Change,Rehab Data - Date of Change,Level A Record Version Number,GE Number - GE_Module,How lat or long determined,Ex First Examined,Ex Country,Ex State or County,Ex City,Ex Body of Water,Ex Locality Detail,Ex Latitude,Ex Lat actual,Ex Longitude,Ex Lon actual,Ex How lat or long determined,Ex lat achived other text,No Rehab Options,Incinerated,Composted,Carcass Code at Necropsy,Samples Collected-Histology,Samples Collected-Other Diag,Samples Collected-Life Hist,Samples Collected-Skeletal,Samples Collected-Other,Samples Collected-Other Text,Human Interaction Report,human interaction contributed,Applied during Rehab or Rel,Absent but Suspect Prior Tag,Removed1,Removed2,Removed3,Removed4,Report Type,Entangled OD,Ingestion,Other How Determined Photo,GE Type(s) - GE_Module,Group Event Flag - GE_Module,GE Num of Animals - GE_Module,GE Num of Animals Act or Est - GE_Module,Num Uploaded Files for this Level A
National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Contributors,Effort,"If Effort=Other, Then Specify",Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Group Type: UME,Num of Animals in Group Event,Number of Animals Act/Est,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,2001 Level A: External Exam,2001 Level A: Internal Exam,2001 Level A: Not Examined,How Determined: Describe,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Other Findings - Other Flag,Other Findings - Describe,SW Other Findings Type,2007 Other Findings - External,2007 Other Findings - Internal,2007 Other Findings - Necropsy,2007 Other Findings - Other,2007 Other Findings - Describe,2001 Other Findings - Describe,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Obs Date estimate explaination,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Date of Initial Disposition,Year of Initial Disposition,Month of Initial Disposition,Day of Initial Disposition,Rehab Facility Name,Died During Transport Flag,Euthanized During Transport,Other Flag,Other Describe Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Condition Other Flag,Condition Other Description,Entangled Flag,Condition Comments,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Photos/Vidoes Disposition,Tag Present- Time of Stranding,Tag Applied During Response,Stranding Tag #1 ID,Stranding Tag #2 ID,Stranding Tag #3 ID,Stranding Tag #4 ID,Stranding Tag #1 Color,Stranding Tag #2 Color,Stranding Tag #3 Color,Stranding Tag #4 Color,Stranding Tag #1 Type,Stranding Tag #2 Type,Stranding Tag #3 Type,Stranding Tag #4 Type,Stranding Tag #1 Placement,Stranding Tag #2 Placement,Stranding Tag #3 Placement,Stranding Tag #4 Placement,Stranding Tag #1 Applied Flag,Stranding Tag #2 Applied Flag,Stranding Tag #3 Applied Flag,Stranding Tag #4 Applied Flag,Stranding Tag #1 Present Flag,Stranding Tag #2 Present Flag,Stranding Tag #3 Present Flag,Stranding Tag #4 Present Flag,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk Flag,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill Flag,Carcass Unknown Flag,Carcass Other Flag,Carcass Other Description,Scientific Collection Flag,Educational Collection Flag,Other Collection Flag,Other Collection Describe,Other Collection Comments,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers,Userid of level A data entry,Date of level A data entry,Userid of data entry change,Date of data entry change,Rehabid,Restrand Flag,Pup/Calf Flag,Date Admitted to Rehab,Received From Rehab Facility,Rehab Straight Length,Rehab Length - Units,Rehab Length - Actual/Estimate,Rehab Weight,Rehab Weight - Units,Rehab Weight - Actual/Estimate,Pre-release Health Screen,Pre-release Health Screen Date,Last Day of Antibiotics Date,Samples Collected,Scientific Collection,Educational Collection,Rehab Other Flag,Rehab Other Description,Specimen Disposition 1,Specimen Disposition 2,Specimen Disposition 3,Specimen Disposition 4,Specimen Disposition 5,Specimen Disposition 6,Specimen Disposition 7,Specimen Disposition 8,Released Straight Length,Released - Length Units,Released - Length Units Type,Released Weight,Released Weight - Units,Released Weight - Units Type,Released Age Class,Final Disposition,Transferred to Other Facility,Transferred Date,Transferred to Facility Name,Transferred Comments,Perm Transferred- Pub Display,Retained Date,Retained Location,Retained Comments,NOAA ID #,Died Flag,Euthanized Flag,Died Date,Died Location,Cause of Death,Died Comments,Rehab Necropsied Flag,Necropsied Limited or Complete,Carcass Fresh or Frozen,Necropsied Date,Rehab Necropsied By,Released Flag,Released Date,Released Country,Released State/County,Released City,Released Locality Details,Released Lattitude,Released Lattitude Units,Released Longitude,Released Longitude Units,Released Singly or With Others,Temp Trans - Research Facility,Rehab Retained Date,Rehab Retained Location,Rehab Retained Comments,NMFS Permit #,Perm Trans Resrch/Enhancement,Permanent Captivity Date,Permanent Captivity Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1204422,MME-18-120Pv,NER18-00553,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Portland,Cumberland,ME,Atlantic Ocean,East End Beach,43.666435,decimal degrees,actual,-70.238598,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-handled by public,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-JUL-03,2018,JUL,3,Beach or Land,,,Alive,Y,2018-JUL-3,2018,JUL,3,Alive,,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,,,,,,Y,,,,,,,FEMALE,YEARLING,,,68,cm,actual,8,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,dwalk,43664.39221,66980,N,N,2018-JUL-10,Marine Mammals of Maine,81.5,cm,actual,7.4,kg,actual,,,,,N,N,Y,Archive samples,,,,,,,,,73,cm,actual,7.5,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,N,2018-JUL-12,Mystic Aquarium,CBD,"Died overnight--necropsy (gross) report suggests congenital abnormalities, metabolic causes",Y,complete,fresh,2018-JUL-12,Dr. John Griffioen,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,66979,jschuh,43343.63604,,,3,GE-2018-0003,,Beach or Land,35,212,Portland,1509,East End Beach,43.666435,actual,-70.238598,actual,Internet,,,,,,,,,,,,N,Suspect,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1204422,MME-18-120Pv,NER18-00553,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Portland,Cumberland,ME,Atlantic Ocean,East End Beach,43.666435,decimal degrees,actual,-70.238598,decimal degrees,actual,Internet,,,,,,,,,,Y,,,,,Y,Harassment-handled by public,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-JUL-03,2018,JUL,3,Beach or Land,,,Alive,Y,2018-JUL-3,2018,JUL,3,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,Y,,,,,,,FEMALE,YEARLING,,,68,cm,actual,8,kg,actual,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,dwalk,43664.39221,66979,,N,2018-JUL-03,Marine Mammals of Maine,68,cm,actual,8,kg,actual,,,,,N,N,N,,,,,,,,,,68,cm,actual,8,kg,actual,Yearling,notApplicable,Y,2018-JUL-10,Mystic Aquarium,,N,,,,,N,,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,43343.63257,,,3,GE-2018-0003,,Beach or Land,35,212,Portland,1509,East End Beach,43.666435,actual,-70.238598,actual,Internet,,,,,,,,,,,,N,Suspect,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1204425,MME-18-152Pv,NER18-00556,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Goose Rocks Beach,43.4023,decimal degrees,actual,-70.4092,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2018-JUL-14,2018,JUL,14,Beach or Land,,,Alive,Y,2018-JUL-14,2018,JUL,14,,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,82,cm,actual,12.3,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,Both eyes severely damaged,,dwalk,,,,66984,,N,2018-JUL-14,Marine Mammals of Maine,82,cm,actual,12.3,kg,actual,,,,,N,N,N,,,,,,,,,,82,cm,actual,12.3,kg,actual,Yearling,notApplicable,Y,2018-JUL-19,Mystic Aquarium,,N,,,,,N,,,,,,N,,,,,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,43343.66697,,,2,GE-2018-0003,,Beach or Land,35,227,Kennebunkport,1509,Goose Rocks Beach,43.4023,actual,-70.4092,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1204425,MME-18-152Pv,NER18-00556,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Kennebunkport,York,ME,Atlantic Ocean,Goose Rocks Beach,43.4023,decimal degrees,actual,-70.4092,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,,,,,2018-JUL-14,2018,JUL,14,Beach or Land,,,Alive,Y,2018-JUL-14,2018,JUL,14,,,,,,,,Y,,,,,Mystic Aquarium,,,,,Y,Y,,,,,,,,,,,,MALE,YEARLING,,,82,cm,actual,12.3,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,Both eyes severely damaged,,dwalk,,,,66985,N,N,2018-JUL-19,Marine Mammals of Maine,82,cm,actual,11.9,kg,actual,,,,,N,N,Y,Archive,,,,,,,,,93,cm,actual,13.3,kg,actual,Pup/Calf,notApplicable,N,,,,N,,,,,Y,Y,2018-JUL-26,Mystic Aquarium,Sepsis,Esophageal perforation,Y,complete,fresh,2018-JUL-26,Dr. John Griffioen,N,,United States,/,,,,decimal degrees,,decimal degrees,,N,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,66984,jschuh,43343.66853,,,2,GE-2018-0003,,Beach or Land,35,227,Kennebunkport,1509,Goose Rocks Beach,43.4023,actual,-70.4092,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
IFAW18-179Pv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1214708,MME-18-187Pv,NER18-01978,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Ogunquit,York,ME,Atlantic Ocean,Footbridge Beach,43.258787,decimal degrees,actual,-70.588677,decimal degrees,actual,Internet,,,,,,,,,,CBD,,,,,,,,,,,,,,,,N,,Y,Y,Y,,,,,Y,,Y,,,,2018-JUL-22,2018,JUL,22,Beach or Land,,,Alive,Y,2018-JUL-22,2018,JUL,22,Alive,,,,,Y,,,,,,,,,,,,Y,Y,,,,,,,,,,,,MALE,PUP/CALF,Y,,83,cm,actual,16.9,kg,actual,Y,on file at MME.,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,fresh,2018-Jul-23,2018,JUL,23,MMoME,"Weanling Pv reported laying in the surf and not moving, looking around but not responding to wave action. Swollen Left Rear Flipper. Euthanized 7/22.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,227,Ogunquit,1509,Footbridge Beach,43.258787,actual,-70.588677,actual,Internet,,,,,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1215021,MME-18-199Pv,NER18-01987,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Old Orchard Beach,Cumberland,ME,Atlantic Ocean,Old Orchard Beach,43.504875,decimal degrees,actual,-70.380295,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,Y,,,,2018-JUL-24,2018,JUL,24,Beach or Land,,,Alive,Y,2018-JUL-24,2018,JUL,24,Alive,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,,,,,,MALE,ADULT,Y,,147,cm,actual,,,notMeasured,Y,on file at MME,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,complete,,2018-Jul-24,2018,JUL,24,MMoME,"Adult Pv thin, continuously turning to left, constantly in and out of water, pulled himself high up on very busy, very crowded beach, rolling side to side, died during collection. Necropsied 7/24/18.",,dwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GE-2018-0003,,Beach or Land,35,212,Old Orchard Beach,1509,Old Orchard Beach,43.504875,actual,-70.380295,actual,Internet,,,,,2,Y,Y,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
NE-2018-1204430,MME-18-220Pv,NER18-00558,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,OPEN,Dominique Walk,Marine Mammals of Maine,Marine Mammals of Maine,,,,NE,United States,Cape Elizabeth,Cumberland,ME,Atlantic Ocean,Crescent Beach,43.562363,decimal degrees,actual,-70.219104,decimal degrees,actual,Internet,,,,,,,,,,N,,,,,,,,,,,,,,,,N,,Y,Y,,,,,,Y,,,,,,2018-JUL-30,2018,JUL,30,Beach or Land,,,Alive,Y,2018-JUL-30,2018,JUL,30,Alive,,,,,,,Y,,,,,Marine Mammals of Maine,,,,,Y,,,,,,,,,,,,,MALE,SUBADULT,,,110,cm,actual,25,kg,actual,Y,on file at mme,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,dwalk,,,,66990,,N,2018-JUL-30,Marine Mammals of Maine,110,cm,actual,25,kg,actual,,,,,N,N,N,,,,,,,,,,110,cm,actual,25,kg,actual,Subadult,notApplicable,N,,,,N,,,,,Y,,2018-JUL-31,Marine Mammals of Maine,"Upper respiratory infection, pneumonia",,Y,limited,fresh,2018-AUG-01,Marine Mammals of Maine,N,,United States,/,,,,decimal degrees,,decimal degrees,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,N,N,N,N,N,N,N,,,,,dwalk,43343.69874,,,2,GE-2018-0003,,Beach or Land,35,212,Cape Elizabeth,1509,Crescent Beach,43.562363,actual,-70.219104,actual,Internet,,,,,,,,,,,,N,,N,N,,,,,,,,,Unusual Mortality Event,Yes,3342,,0
